SETTLEMENTDATE,RRP,Year,Quarter,RRP.1,Term,IndexTerm,Peak_OffPeak,Business,Evening_Peak,Solar_Period,Morning_Peak
1/01/2021 0:00,40.17,2020,4,40.17,Q1_20,20_Q4,OffPeak,Business Day,0,0,0
1/01/2021 0:30,36.53,2021,1,36.53,Q1_21,21_Q1,OffPeak,Business Day,0,0,0
1/01/2021 1:00,39.01,2021,1,39.01,Q1_21,21_Q1,OffPeak,Business Day,0,0,0
1/01/2021 1:30,34.07,2021,1,34.07,Q1_21,21_Q1,OffPeak,Business Day,0,0,0
1/01/2021 2:00,33.92,2021,1,33.92,Q1_21,21_Q1,OffPeak,Business Day,0,0,0
1/01/2021 2:30,28.85,2021,1,28.85,Q1_21,21_Q1,OffPeak,Business Day,0,0,0
1/01/2021 3:00,27.8,2021,1,27.8,Q1_21,21_Q1,OffPeak,Business Day,0,0,0
1/01/2021 3:30,26.55,2021,1,26.55,Q1_21,21_Q1,OffPeak,Business Day,0,0,0
1/01/2021 4:00,27.44,2021,1,27.44,Q1_21,21_Q1,OffPeak,Business Day,0,0,0
1/01/2021 4:30,30.19,2021,1,30.19,Q1_21,21_Q1,OffPeak,Business Day,0,0,0
1/01/2021 5:00,31.73,2021,1,31.73,Q1_21,21_Q1,OffPeak,Business Day,0,0,0
1/01/2021 5:30,30.04,2021,1,30.04,Q1_21,21_Q1,OffPeak,Business Day,0,0,0
1/01/2021 6:00,25.88,2021,1,25.88,Q1_21,21_Q1,OffPeak,Business Day,0,0,0
1/01/2021 6:30,20.12,2021,1,20.12,Q1_21,21_Q1,OffPeak,Business Day,0,0,0
1/01/2021 7:00,7.03,2021,1,7.03,Q1_21,21_Q1,OffPeak,Business Day,0,0,1
1/01/2021 7:30,21.59,2021,1,21.59,Q1_21,21_Q1,OffPeak,Business Day,0,0,1
1/01/2021 8:00,13.07,2021,1,13.07,Q1_21,21_Q1,Peak,Business Day,0,0,1
1/01/2021 8:30,21.13,2021,1,21.13,Q1_21,21_Q1,Peak,Business Day,0,0,1
1/01/2021 9:00,27.16,2021,1,27.16,Q1_21,21_Q1,Peak,Business Day,0,0,1
1/01/2021 9:30,32.07,2021,1,32.07,Q1_21,21_Q1,Peak,Business Day,0,1,0
1/01/2021 10:00,30.97,2021,1,30.97,Q1_21,21_Q1,Peak,Business Day,0,1,0
1/01/2021 10:30,26.87,2021,1,26.87,Q1_21,21_Q1,Peak,Business Day,0,1,0
1/01/2021 11:00,27.31,2021,1,27.31,Q1_21,21_Q1,Peak,Business Day,0,1,0
1/01/2021 11:30,26.96,2021,1,26.96,Q1_21,21_Q1,Peak,Business Day,0,1,0
1/01/2021 12:00,29.52,2021,1,29.52,Q1_21,21_Q1,Peak,Business Day,0,1,0
1/01/2021 12:30,31.71,2021,1,31.71,Q1_21,21_Q1,Peak,Business Day,0,1,0
1/01/2021 13:00,31.36,2021,1,31.36,Q1_21,21_Q1,Peak,Business Day,0,1,0
1/01/2021 13:30,29.18,2021,1,29.18,Q1_21,21_Q1,Peak,Business Day,0,1,0
1/01/2021 14:00,31.41,2021,1,31.41,Q1_21,21_Q1,Peak,Business Day,0,1,0
1/01/2021 14:30,30.55,2021,1,30.55,Q1_21,21_Q1,Peak,Business Day,0,1,0
1/01/2021 15:00,31.24,2021,1,31.24,Q1_21,21_Q1,Peak,Business Day,0,1,0
1/01/2021 15:30,30.59,2021,1,30.59,Q1_21,21_Q1,Peak,Business Day,0,1,0
1/01/2021 16:00,34.27,2021,1,34.27,Q1_21,21_Q1,Peak,Business Day,0,1,0
1/01/2021 16:30,33.25,2021,1,33.25,Q1_21,21_Q1,Peak,Business Day,1,0,0
1/01/2021 17:00,37.76,2021,1,37.76,Q1_21,21_Q1,Peak,Business Day,1,0,0
1/01/2021 17:30,34.65,2021,1,34.65,Q1_21,21_Q1,Peak,Business Day,1,0,0
1/01/2021 18:00,37.97,2021,1,37.97,Q1_21,21_Q1,Peak,Business Day,1,0,0
1/01/2021 18:30,40.85,2021,1,40.85,Q1_21,21_Q1,Peak,Business Day,1,0,0
1/01/2021 19:00,42.02,2021,1,42.02,Q1_21,21_Q1,Peak,Business Day,1,0,0
1/01/2021 19:30,41.75,2021,1,41.75,Q1_21,21_Q1,Peak,Business Day,1,0,0
1/01/2021 20:00,41.45,2021,1,41.45,Q1_21,21_Q1,Peak,Business Day,1,0,0
1/01/2021 20:30,40.3,2021,1,40.3,Q1_21,21_Q1,Peak,Business Day,1,0,0
1/01/2021 21:00,37.09,2021,1,37.09,Q1_21,21_Q1,Peak,Business Day,1,0,0
1/01/2021 21:30,38.09,2021,1,38.09,Q1_21,21_Q1,Peak,Business Day,1,0,0
1/01/2021 22:00,35.74,2021,1,35.74,Q1_21,21_Q1,Peak,Business Day,1,0,0
1/01/2021 22:30,37.05,2021,1,37.05,Q1_21,21_Q1,OffPeak,Business Day,0,0,0
1/01/2021 23:00,35.68,2021,1,35.68,Q1_21,21_Q1,OffPeak,Business Day,0,0,0
1/01/2021 23:30,35.79,2021,1,35.79,Q1_21,21_Q1,OffPeak,Business Day,0,0,0
2/01/2021 0:00,35.26,2021,1,35.26,Q1_21,21_Q1,OffPeak,Non-business Day,0,0,0
2/01/2021 0:30,34.76,2021,1,34.76,Q1_21,21_Q1,OffPeak,Non-business Day,0,0,0
2/01/2021 1:00,35.15,2021,1,35.15,Q1_21,21_Q1,OffPeak,Non-business Day,0,0,0
2/01/2021 1:30,30.49,2021,1,30.49,Q1_21,21_Q1,OffPeak,Non-business Day,0,0,0
2/01/2021 2:00,25.84,2021,1,25.84,Q1_21,21_Q1,OffPeak,Non-business Day,0,0,0
2/01/2021 2:30,27.42,2021,1,27.42,Q1_21,21_Q1,OffPeak,Non-business Day,0,0,0
2/01/2021 3:00,26.51,2021,1,26.51,Q1_21,21_Q1,OffPeak,Non-business Day,0,0,0
2/01/2021 3:30,26.26,2021,1,26.26,Q1_21,21_Q1,OffPeak,Non-business Day,0,0,0
2/01/2021 4:00,29.18,2021,1,29.18,Q1_21,21_Q1,OffPeak,Non-business Day,0,0,0
